time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,48,19,0,0
2026-04-26 00:00:00+00:00,20,8,0,0
2026-04-27 00:00:00+00:00,13,4,0,0
2026-04-28 00:00:00+00:00,19,4,0,0
2026-04-29 00:00:00+00:00,53,14,0,0
2026-04-30 00:00:00+00:00,1,1,0,0
2026-05-01 00:00:00+00:00,18,4,0,0
2026-05-02 00:00:00+00:00,26,7,0,0
2026-05-03 00:00:00+00:00,14,5,0,0
2026-05-04 00:00:00+00:00,30,8,0,0
2026-05-05 00:00:00+00:00,36,9,0,0
2026-05-06 00:00:00+00:00,10,5,0,0
2026-05-07 00:00:00+00:00,5,5,0,0
2026-05-08 00:00:00+00:00,11,6,0,0
